track_evolution_id,season,round,gp_id,track_id,period_correct_track_name,track_type,rubbering_rate_index,green_track_penalty_index,qualifying_evolution_effect_index,race_grip_stability_index,offline_marble_risk_index,source_lock_status,materializer_action,notes
evolution_1980_r01_tr_0018,1980,1,gp_145,tr_0018,Autódromo Municipal Ciudad de Buenos Aires,permanent_road_course,58,9,36,89,58,derived_gameplay_baseline,seed_track_state_model_only,Track evolution is a simulation baseline. Live grip/rubber/weather interaction must be generated in Save World sessions.
evolution_1980_r02_tr_0028,1980,2,gp_146,tr_0028,Interlagos / Autódromo José Carlos Pace,permanent_road_course,58,11,36,83,63,derived_gameplay_baseline,seed_track_state_model_only,Track evolution is a simulation baseline. Live grip/rubber/weather interaction must be generated in Save World sessions.
evolution_1980_r03_tr_0067,1980,3,gp_147,tr_0067,Kyalami Grand Prix Circuit,permanent_road_course,58,9,36,89,54,derived_gameplay_baseline,seed_track_state_model_only,Track evolution is a simulation baseline. Live grip/rubber/weather interaction must be generated in Save World sessions.
evolution_1980_r04_tr_0088,1980,4,gp_148,tr_0088,Long Beach Street Circuit,temporary_street_circuit,78,20,48,78,61,derived_gameplay_baseline,seed_track_state_model_only,Track evolution is a simulation baseline. Live grip/rubber/weather interaction must be generated in Save World sessions.
evolution_1980_r05_tr_0026,1980,5,gp_149,tr_0026,Circuit Zolder,permanent_road_course,54,9,33,85,60,derived_gameplay_baseline,seed_track_state_model_only,Track evolution is a simulation baseline. Live grip/rubber/weather interaction must be generated in Save World sessions.
evolution_1980_r06_tr_0056,1980,6,gp_150,tr_0056,Circuit de Monaco,temporary_street_circuit,78,18,48,77,59,derived_gameplay_baseline,seed_track_state_model_only,Track evolution is a simulation baseline. Live grip/rubber/weather interaction must be generated in Save World sessions.
evolution_1980_r07_tr_0035,1980,7,gp_151,tr_0035,Circuit Paul Ricard,permanent_road_course,58,9,36,89,58,derived_gameplay_baseline,seed_track_state_model_only,Track evolution is a simulation baseline. Live grip/rubber/weather interaction must be generated in Save World sessions.
evolution_1980_r08_tr_0081,1980,8,gp_152,tr_0081,Brands Hatch,permanent_road_course,54,9,33,85,56,derived_gameplay_baseline,seed_track_state_model_only,Track evolution is a simulation baseline. Live grip/rubber/weather interaction must be generated in Save World sessions.
evolution_1980_r09_tr_0041,1980,9,gp_153,tr_0041,Hockenheimring,permanent_road_course,58,9,36,86,57,derived_gameplay_baseline,seed_track_state_model_only,Track evolution is a simulation baseline. Live grip/rubber/weather interaction must be generated in Save World sessions.
evolution_1980_r10_tr_0022,1980,10,gp_154,tr_0022,Österreichring,permanent_road_course,58,9,36,86,57,derived_gameplay_baseline,seed_track_state_model_only,Track evolution is a simulation baseline. Live grip/rubber/weather interaction must be generated in Save World sessions.
evolution_1980_r11_tr_0058,1980,11,gp_155,tr_0058,Circuit Zandvoort,permanent_road_course,54,11,33,83,61,derived_gameplay_baseline,seed_track_state_model_only,Track evolution is a simulation baseline. Live grip/rubber/weather interaction must be generated in Save World sessions.
evolution_1980_r12_tr_0047,1980,12,gp_156,tr_0047,Autodromo Dino Ferrari,permanent_road_course,58,9,36,86,58,derived_gameplay_baseline,seed_track_state_model_only,Track evolution is a simulation baseline. Live grip/rubber/weather interaction must be generated in Save World sessions.
evolution_1980_r13_tr_0030,1980,13,gp_157,tr_0030,Circuit Île Notre-Dame,permanent_road_course,58,9,36,85,57,derived_gameplay_baseline,seed_track_state_model_only,Track evolution is a simulation baseline. Live grip/rubber/weather interaction must be generated in Save World sessions.
evolution_1980_r14_tr_0090,1980,14,gp_158,tr_0090,Watkins Glen Grand Prix Circuit,permanent_road_course,54,9,33,84,60,derived_gameplay_baseline,seed_track_state_model_only,Track evolution is a simulation baseline. Live grip/rubber/weather interaction must be generated in Save World sessions.
