round,gp,gp_id,track_id,circuit,baseline_lap_length_km,corrected_historical_lap_length_km,required_historical_layout,layout_id,valid_years,candidate_source,candidate_id,candidate_length_km,length_difference_percent,shape_confidence,historical_confidence,geometry_status,candidate_review_status,historical_status,historical_map_source_id,historical_map_license,historical_map_ready,reviewed_geometry_status,runtime_geometry_status,runtime_geometry_reviewed,runtime_geometry_precision,needs_research,notes
1,Argentine Grand Prix,gp_145,tr_0018,Autódromo Municipal Ciudad de Buenos Aires,5.968,,Circuit No. 15 (1979-94 configuration),cl_tr_0018_no15_1979,1979-1994,bacinger/f1-circuits,bacinger:ar-1952,4.322,-27.58,LOW,HIGH,CANDIDATE_LENGTH_MISMATCH,CANDIDATE_LENGTH_MISMATCH,VERIFIED_LAYOUT_IDENTITY,commons_buenos_aires_no15,CC BY-SA 4.0,true,MATCHED_REVIEWED_SCHEMATIC,MATCHED_REVIEWED_SCHEMATIC,true,schematic_historical_trace,false,"Upstream line is a much shorter current/different configuration; reject for 1980 geometry. A licensed period map has been traced and reviewed as schematic historical geometry for Live Race 2D; it is not authoritative for distance, performance, timing or exact corner coordinates."
2,Brazilian Grand Prix,gp_146,tr_0028,Interlagos / Autódromo José Carlos Pace,7.873,,Grand Prix Circuit (1978-89 original long course),cl_tr_0028_long_1978,1978-1989,bacinger/f1-circuits,bacinger:br-1940,4.309,-45.27,NONE,HIGH,CANDIDATE_LENGTH_MISMATCH,CANDIDATE_LENGTH_MISMATCH,VERIFIED_LAYOUT_IDENTITY,commons_interlagos_1977,Public Domain (PD-self),true,MATCHED_REVIEWED_SCHEMATIC,MATCHED_REVIEWED_SCHEMATIC,true,schematic_historical_trace,false,"Upstream line is the modern short Interlagos, not the original 7.873 km circuit. A licensed period map has been traced and reviewed as schematic historical geometry for Live Race 2D; it is not authoritative for distance, performance, timing or exact corner coordinates."
3,South African Grand Prix,gp_147,tr_0067,Kyalami Grand Prix Circuit,4.104,,Grand Prix Circuit (1961-87),cl_tr_0067_gp_1961,1961-1987,bacinger/f1-circuits,bacinger:za-1961,4.529,10.36,NONE,HIGH,CANDIDATE_LENGTH_MISMATCH,CANDIDATE_LENGTH_MISMATCH,VERIFIED_LAYOUT_IDENTITY,commons_kyalami_1961_1988,CC BY-SA 4.0,true,MATCHED_REVIEWED_SCHEMATIC,MATCHED_REVIEWED_SCHEMATIC,true,schematic_historical_trace,false,"Upstream geometry represents rebuilt Kyalami, not the original 1961-87 course. A licensed period map has been traced and reviewed as schematic historical geometry for Live Race 2D; it is not authoritative for distance, performance, timing or exact corner coordinates."
4,United States Grand Prix West,gp_148,tr_0088,Long Beach Street Circuit,3.251,,Grand Prix Course (1978-81),cl_tr_0088_gp_1978,1978-1981,bacinger/f1-circuits,,,,NONE,HIGH,GEOMETRY_MISSING,GEOMETRY_MISSING,VERIFIED_LAYOUT_IDENTITY,commons_long_beach_1978,Public Domain (PD-self),true,MATCHED_REVIEWED_SCHEMATIC,MATCHED_REVIEWED_SCHEMATIC,true,schematic_historical_trace,false,"No same-venue bacinger candidate exists, but a Public Domain 1978-1981 period map has now been traced and reviewed as schematic historical geometry for Live Race 2D. It is not authoritative for distance, performance or exact corner coordinates. A licensed period map has been traced and reviewed as schematic historical geometry for Live Race 2D; it is not authoritative for distance, performance, timing or exact corner coordinates."
5,Belgian Grand Prix,gp_149,tr_0026,Circuit Zolder,4.262,,Grand Prix Circuit (1975-81),cl_tr_0026_gp_1975,1975-1981,bacinger/f1-circuits,,,,NONE,HIGH,GEOMETRY_MISSING,GEOMETRY_MISSING,VERIFIED_LAYOUT_IDENTITY,commons_zolder_1975_1985,CC BY-SA 3.0,true,MATCHED_REVIEWED_SCHEMATIC,MATCHED_REVIEWED_SCHEMATIC,true,schematic_historical_trace,false,"The Belgian upstream entry is Spa, not Zolder. A licensed period map has been traced and reviewed as schematic historical geometry for Live Race 2D; it is not authoritative for distance, performance, timing or exact corner coordinates."
6,Monaco Grand Prix,gp_150,tr_0056,Circuit de Monaco,3.312,,Monaco 1976-85 configuration,cl_tr_0056_v3_1976,1976-1985,bacinger/f1-circuits,bacinger:mc-1929,3.337,0.75,LOW,HIGH,CURRENT_LAYOUT_ONLY,CURRENT_LAYOUT_ONLY,VERIFIED_LAYOUT_IDENTITY,commons_monaco_1976,CC BY-SA 3.0,true,MATCHED_REVIEWED_SCHEMATIC,MATCHED_REVIEWED_SCHEMATIC,true,schematic_historical_trace,false,"Length is close, but Monaco changed in 1986, 1997 and 2003. A modern line cannot be promoted on length alone. A licensed period map has been traced and reviewed as schematic historical geometry for Live Race 2D; it is not authoritative for distance, performance, timing or exact corner coordinates."
7,French Grand Prix,gp_151,tr_0035,Circuit Paul Ricard,5.81,,Full Grand Prix Circuit (pre-1986),cl_tr_0035_full_1970,1970-1985,bacinger/f1-circuits,bacinger:fr-1969,5.842,0.55,NONE,HIGH,CANDIDATE_CONFIGURATION_MISMATCH,CANDIDATE_CONFIGURATION_MISMATCH,VERIFIED_LAYOUT_IDENTITY,commons_paul_ricard_1970_1999,Public Domain (PD-self),true,MATCHED_REVIEWED_SCHEMATIC,MATCHED_REVIEWED_SCHEMATIC,true,schematic_historical_trace,false,"Reject bacinger geometry for 1980: the historical full course requires an uninterrupted ~1.8 km Mistral Straight, while the candidate's longest near-straight run is only about 1.03 km, indicating a later/chicaned configuration. A licensed period map has been traced and reviewed as schematic historical geometry for Live Race 2D; it is not authoritative for distance, performance, timing or exact corner coordinates."
8,British Grand Prix,gp_152,tr_0081,Brands Hatch,4.207,,Grand Prix Circuit (1976-87),cl_tr_0081_gp_1976,1976-1987,bacinger/f1-circuits,,,,NONE,HIGH,GEOMETRY_MISSING,GEOMETRY_MISSING,VERIFIED_LAYOUT_IDENTITY,commons_brands_hatch_1976_1987,CC BY-SA 4.0,true,MATCHED_REVIEWED_SCHEMATIC,MATCHED_REVIEWED_SCHEMATIC,true,schematic_historical_trace,false,"The UK upstream entry is Silverstone, not Brands Hatch. A licensed period map has been traced and reviewed as schematic historical geometry for Live Race 2D; it is not authoritative for distance, performance, timing or exact corner coordinates."
9,German Grand Prix,gp_153,tr_0041,Hockenheimring,6.789,,Grand Prix Circuit (1970-80),cl_tr_0041_gp_1970,1970-1980,bacinger/f1-circuits,bacinger:de-1932,4.574,-32.63,NONE,HIGH,CANDIDATE_LENGTH_MISMATCH,CANDIDATE_LENGTH_MISMATCH,VERIFIED_LAYOUT_IDENTITY,commons_hockenheim_1970,CC BY-SA 3.0,true,MATCHED_REVIEWED_SCHEMATIC,MATCHED_REVIEWED_SCHEMATIC,true,schematic_historical_trace,false,"Upstream line is shortened modern Hockenheim; 1980 requires the forest circuit. A licensed period map has been traced and reviewed as schematic historical geometry for Live Race 2D; it is not authoritative for distance, performance, timing or exact corner coordinates."
10,Austrian Grand Prix,gp_154,tr_0022,Österreichring,5.942,,Österreichring Grand Prix Circuit (1977-87),cl_tr_0022_gp_1977,1977-1987,bacinger/f1-circuits,bacinger:at-1969,4.318,-27.33,NONE,HIGH,CANDIDATE_LENGTH_MISMATCH,CANDIDATE_LENGTH_MISMATCH,VERIFIED_LAYOUT_IDENTITY,commons_osterreichring_1977_1987,CC BY-SA 4.0,true,MATCHED_REVIEWED_SCHEMATIC,MATCHED_REVIEWED_SCHEMATIC,true,schematic_historical_trace,false,"Upstream line is Red Bull Ring, not the long Österreichring. A licensed period map has been traced and reviewed as schematic historical geometry for Live Race 2D; it is not authoritative for distance, performance, timing or exact corner coordinates."
