audit_id,season,round,gp_id,source_gp_name,period_correct_gp_name,country,race_date,track_id,period_correct_track_name,championship_status,source_lock_status,display_name_status,primary_source_id,secondary_source_id,materializer_action,career_start_boundary,notes
ccw1980_calendar_01,1980,1,gp_145,Argentine Grand Prix,Argentine Grand Prix,Argentina,1980-01-13,tr_0018,Autódromo Municipal Ciudad de Buenos Aires,championship_round,source_locked_historical_calendar,source_locked,SRC_V1211_FORMULA1_1980_RACES,SRC_V1211_STATSF1_1980_SEASON,emit_as_starting_calendar_reference_only,pre_start_fixture_only_no_result_authority,Race order/date/event identity are static starting data. Results remain hidden/reference-only after career start.
ccw1980_calendar_02,1980,2,gp_146,Brazilian Grand Prix,Brazilian Grand Prix,Brazil,1980-01-27,tr_0028,Interlagos / Autódromo José Carlos Pace,championship_round,source_locked_historical_calendar,source_locked,SRC_V1211_FORMULA1_1980_RACES,SRC_V1211_STATSF1_1980_SEASON,emit_as_starting_calendar_reference_only,pre_start_fixture_only_no_result_authority,Race order/date/event identity are static starting data. Results remain hidden/reference-only after career start.
ccw1980_calendar_03,1980,3,gp_147,South African Grand Prix,South African Grand Prix,South Africa,1980-03-01,tr_0067,Kyalami Grand Prix Circuit,championship_round,source_locked_historical_calendar,source_locked,SRC_V1211_FORMULA1_1980_RACES,SRC_V1211_STATSF1_1980_SEASON,emit_as_starting_calendar_reference_only,pre_start_fixture_only_no_result_authority,Race order/date/event identity are static starting data. Results remain hidden/reference-only after career start.
ccw1980_calendar_04,1980,4,gp_148,United States Grand Prix,United States Grand Prix West,USA,1980-03-30,tr_0088,Long Beach Street Circuit,championship_round,source_locked_historical_calendar,period_display_name_override_required,SRC_V1211_FORMULA1_1980_RACES,SRC_V1211_STATSF1_1980_SEASON,emit_as_starting_calendar_reference_only,pre_start_fixture_only_no_result_authority,Race order/date/event identity are static starting data. Results remain hidden/reference-only after career start.
ccw1980_calendar_05,1980,5,gp_149,Belgian Grand Prix,Belgian Grand Prix,Belgium,1980-05-04,tr_0026,Circuit Zolder,championship_round,source_locked_historical_calendar,source_locked,SRC_V1211_FORMULA1_1980_RACES,SRC_V1211_STATSF1_1980_SEASON,emit_as_starting_calendar_reference_only,pre_start_fixture_only_no_result_authority,Race order/date/event identity are static starting data. Results remain hidden/reference-only after career start.
ccw1980_calendar_06,1980,6,gp_150,Monaco Grand Prix,Monaco Grand Prix,Monaco,1980-05-18,tr_0056,Circuit de Monaco,championship_round,source_locked_historical_calendar,source_locked,SRC_V1211_FORMULA1_1980_RACES,SRC_V1211_STATSF1_1980_SEASON,emit_as_starting_calendar_reference_only,pre_start_fixture_only_no_result_authority,Race order/date/event identity are static starting data. Results remain hidden/reference-only after career start.
ccw1980_calendar_07,1980,7,gp_151,French Grand Prix,French Grand Prix,France,1980-06-29,tr_0035,Circuit Paul Ricard,championship_round,source_locked_historical_calendar,source_locked,SRC_V1211_FORMULA1_1980_RACES,SRC_V1211_STATSF1_1980_SEASON,emit_as_starting_calendar_reference_only,pre_start_fixture_only_no_result_authority,Race order/date/event identity are static starting data. Results remain hidden/reference-only after career start.
ccw1980_calendar_08,1980,8,gp_152,British Grand Prix,British Grand Prix,UK,1980-07-13,tr_0081,Brands Hatch,championship_round,source_locked_historical_calendar,source_locked,SRC_V1211_FORMULA1_1980_RACES,SRC_V1211_STATSF1_1980_SEASON,emit_as_starting_calendar_reference_only,pre_start_fixture_only_no_result_authority,Race order/date/event identity are static starting data. Results remain hidden/reference-only after career start.
ccw1980_calendar_09,1980,9,gp_153,German Grand Prix,German Grand Prix,Germany,1980-08-10,tr_0041,Hockenheimring,championship_round,source_locked_historical_calendar,source_locked,SRC_V1211_FORMULA1_1980_RACES,SRC_V1211_STATSF1_1980_SEASON,emit_as_starting_calendar_reference_only,pre_start_fixture_only_no_result_authority,Race order/date/event identity are static starting data. Results remain hidden/reference-only after career start.
ccw1980_calendar_10,1980,10,gp_154,Austrian Grand Prix,Austrian Grand Prix,Austria,1980-08-17,tr_0022,Österreichring,championship_round,source_locked_historical_calendar,source_locked,SRC_V1211_FORMULA1_1980_RACES,SRC_V1211_STATSF1_1980_SEASON,emit_as_starting_calendar_reference_only,pre_start_fixture_only_no_result_authority,Race order/date/event identity are static starting data. Results remain hidden/reference-only after career start.
ccw1980_calendar_11,1980,11,gp_155,Dutch Grand Prix,Dutch Grand Prix,Netherlands,1980-08-31,tr_0058,Circuit Zandvoort,championship_round,source_locked_historical_calendar,source_locked,SRC_V1211_FORMULA1_1980_RACES,SRC_V1211_STATSF1_1980_SEASON,emit_as_starting_calendar_reference_only,pre_start_fixture_only_no_result_authority,Race order/date/event identity are static starting data. Results remain hidden/reference-only after career start.
ccw1980_calendar_12,1980,12,gp_156,Italian Grand Prix,Italian Grand Prix,Italy,1980-09-14,tr_0047,Autodromo Dino Ferrari,championship_round,source_locked_historical_calendar,source_locked,SRC_V1211_FORMULA1_1980_RACES,SRC_V1211_STATSF1_1980_SEASON,emit_as_starting_calendar_reference_only,pre_start_fixture_only_no_result_authority,Race order/date/event identity are static starting data. Results remain hidden/reference-only after career start.
ccw1980_calendar_13,1980,13,gp_157,Canadian Grand Prix,Canadian Grand Prix,Canada,1980-09-28,tr_0030,Circuit Île Notre-Dame,championship_round,source_locked_historical_calendar,source_locked,SRC_V1211_FORMULA1_1980_RACES,SRC_V1211_STATSF1_1980_SEASON,emit_as_starting_calendar_reference_only,pre_start_fixture_only_no_result_authority,Race order/date/event identity are static starting data. Results remain hidden/reference-only after career start.
ccw1980_calendar_14,1980,14,gp_158,United States Grand Prix,United States Grand Prix,USA,1980-10-05,tr_0090,Watkins Glen Grand Prix Circuit,championship_round,source_locked_historical_calendar,source_locked,SRC_V1211_FORMULA1_1980_RACES,SRC_V1211_STATSF1_1980_SEASON,emit_as_starting_calendar_reference_only,pre_start_fixture_only_no_result_authority,Race order/date/event identity are static starting data. Results remain hidden/reference-only after career start.
