id,title,owner,priority,status,details,previous_status,v1212_status,v1212_resolution_notes
DB-001,Adopt Global IDs as canonical runtime IDs,Data Architecture,P0,Ready,Global IDs d_/t_/tr_/gp_ become canonical. SeasonPack IDs remain aliases/crosswalk only.,Ready,DONE,Global d_/t_/tr_/gp_ IDs are canonical; SeasonPack IDs retained as aliases/crosswalk only.
DB-002,Apply driver/team/race/circuit crosswalk to SeasonPack v0.9,Materializer,P0,Ready,Use crosswalk sheets generated in v0.2. Prevent duplicate Alan Jones/DRV0178 vs d_0178.,Ready,DONE,Driver/team/race/circuit crosswalks are materialized into cumulative 1980 candidates.
DB-003,Resolve staff ID collisions,Global DB Editor,P0,Ready,SeasonPack st_0026-st_0029 collide with Jean Todt/Rory Byrne/Ross Brawn/Chris Dyer in Master. Assign new canonical IDs.,Ready,DONE,Staff ID collision corrections from v1.2.2/v1.2.3 are applied and published.
DB-004,Promote missing 1980 staff identities to Global DB,Global DB Editor,P1,Ready,"30 staff_core rows proposed, plus 1980 ratings/contracts.",Ready,PARTIALLY_COMPLETE,"Missing 1980 staff identities promoted, but 39/53 role rows still need row-level source confirmation."
DB-005,Split composite SeasonPack tables,Data Architecture,P1,Spec ready,1980_Drivers/Teams/Staff/Calendar mix identity and season state; split into Global identities + Season overlays.,Spec ready,DONE,Global DB vs Season Definition split is established and current candidates are standalone cumulative artifacts.
DB-006,Add visibility schema fields,Global DB Editor,P1,Spec ready,"known_from, talent_visible_from, f1_eligible_from, f1_debut_reference, career_end_reference.",Spec ready,DONE,Visibility schema exists and is now further refined by v1.2.12 intervals/availability model.
DB-007,Populate tyreCatalog from SeasonPack/Reference_Tyres,Data Enrichment,P1,Ready,Master tyers_catalog is empty; runtime can already consume warmup/window/wear/wet model.,Ready,DONE,Tyre catalogue/supplier baseline exists; performance values remain derived gameplay baseline.
DB-008,Add explicit track evolution fields for 1980 circuits,Data Enrichment,P2,Ready,Add track_evolution_rate/grip_evolution/rubbering_rate to circuit traits with simulation_tuning provenance where estimates.,Ready,DONE,Track-evolution baseline recovered in v1.2.11 as derived gameplay baseline.
DB-009,Materialize historical identity archive,GitHub runtime,P1,Waiting for other conversation,"Past drivers/teams/staff/sponsors should be visible in encyclopedia/history, not market.",Waiting for other conversation,PARTIALLY_COMPLETE,"Historical archive exists, but encyclopedia/UI presentation and some pre-F1 junior history remain open."
DB-010,Retest 1980 readiness after staff/crosswalk migration,Validation,P1,Blocked by DB-001..004,"Target 1980 READY, not READY_WITH_WARNINGS.",Blocked by DB-001..004,SUPERSEDED,Old retest blocker superseded by v1.2.11 and v1.2.12 cumulative integrity/readiness gates.
