weather_profile_id,season,round,gp_id,track_id,race_month,period_correct_track_name,climate_band,avg_air_temp_c_baseline,rain_chance_percent_baseline,storm_chance_percent_baseline,wind_profile_baseline,source_lock_status,exact_1980_weekend_weather_known,materializer_action,notes
weather_1980_r01_tr_0018,1980,1,gp_145,tr_0018,1,Autódromo Municipal Ciudad de Buenos Aires,summer_dry_hot,27,10,2,standard,derived_gameplay_baseline,False,seed_weather_probability_not_actual_session_weather,Weather is probabilistic starting context. Actual session weather belongs to Save World/race simulation.
weather_1980_r02_tr_0028,1980,2,gp_146,tr_0028,1,Interlagos / Autódromo José Carlos Pace,summer_warm_variable,25,28,5,standard,derived_gameplay_baseline,False,seed_weather_probability_not_actual_session_weather,Weather is probabilistic starting context. Actual session weather belongs to Save World/race simulation.
weather_1980_r03_tr_0067,1980,3,gp_147,tr_0067,3,Kyalami Grand Prix Circuit,late_summer_dry,24,10,2,standard,derived_gameplay_baseline,False,seed_weather_probability_not_actual_session_weather,Weather is probabilistic starting context. Actual session weather belongs to Save World/race simulation.
weather_1980_r04_tr_0088,1980,4,gp_148,tr_0088,3,Long Beach Street Circuit,spring_coastal_mild,18,12,2,coastal_variable,derived_gameplay_baseline,False,seed_weather_probability_not_actual_session_weather,Weather is probabilistic starting context. Actual session weather belongs to Save World/race simulation.
weather_1980_r05_tr_0026,1980,5,gp_149,tr_0026,5,Circuit Zolder,spring_european_variable,15,30,5,standard,derived_gameplay_baseline,False,seed_weather_probability_not_actual_session_weather,Weather is probabilistic starting context. Actual session weather belongs to Save World/race simulation.
weather_1980_r06_tr_0056,1980,6,gp_150,tr_0056,5,Circuit de Monaco,spring_mediterranean_mild,21,25,4,coastal_variable,derived_gameplay_baseline,False,seed_weather_probability_not_actual_session_weather,Weather is probabilistic starting context. Actual session weather belongs to Save World/race simulation.
weather_1980_r07_tr_0035,1980,7,gp_151,tr_0035,6,Circuit Paul Ricard,summer_mediterranean_hot,27,8,1,standard,derived_gameplay_baseline,False,seed_weather_probability_not_actual_session_weather,Weather is probabilistic starting context. Actual session weather belongs to Save World/race simulation.
weather_1980_r08_tr_0081,1980,8,gp_152,tr_0081,7,Brands Hatch,summer_british_variable,19,32,6,standard,derived_gameplay_baseline,False,seed_weather_probability_not_actual_session_weather,Weather is probabilistic starting context. Actual session weather belongs to Save World/race simulation.
weather_1980_r09_tr_0041,1980,9,gp_153,tr_0041,8,Hockenheimring,summer_central_europe_variable,22,25,4,standard,derived_gameplay_baseline,False,seed_weather_probability_not_actual_session_weather,Weather is probabilistic starting context. Actual session weather belongs to Save World/race simulation.
weather_1980_r10_tr_0022,1980,10,gp_154,tr_0022,8,Österreichring,summer_alpine_variable,20,25,4,standard,derived_gameplay_baseline,False,seed_weather_probability_not_actual_session_weather,Weather is probabilistic starting context. Actual session weather belongs to Save World/race simulation.
weather_1980_r11_tr_0058,1980,11,gp_155,tr_0058,8,Circuit Zandvoort,late_summer_coastal_variable,18,30,5,coastal_variable,derived_gameplay_baseline,False,seed_weather_probability_not_actual_session_weather,Weather is probabilistic starting context. Actual session weather belongs to Save World/race simulation.
weather_1980_r12_tr_0047,1980,12,gp_156,tr_0047,9,Autodromo Dino Ferrari,late_summer_italian_warm,24,25,4,standard,derived_gameplay_baseline,False,seed_weather_probability_not_actual_session_weather,Weather is probabilistic starting context. Actual session weather belongs to Save World/race simulation.
weather_1980_r13_tr_0030,1980,13,gp_157,tr_0030,9,Circuit Île Notre-Dame,early_autumn_canadian_variable,16,28,5,standard,derived_gameplay_baseline,False,seed_weather_probability_not_actual_session_weather,Weather is probabilistic starting context. Actual session weather belongs to Save World/race simulation.
weather_1980_r14_tr_0090,1980,14,gp_158,tr_0090,10,Watkins Glen Grand Prix Circuit,autumn_north_east_us_variable,13,35,6,standard,derived_gameplay_baseline,False,seed_weather_probability_not_actual_session_weather,Weather is probabilistic starting context. Actual session weather belongs to Save World/race simulation.
