check_id,status,detail
IDENTITY_GLOBAL,PASS,
IDENTITY_SEASON,PASS,
SOURCE_LINEAGE,PASS,
MANIFEST_ROW_COUNTS,PASS,[]
DUPLICATE_ID_DRIVERS,PASS,862
DUPLICATE_ID_STAFF,PASS,63
DUPLICATE_ID_TEAMS,PASS,212
DUPLICATE_ID_TRACKS,PASS,77
SEASON_ACTIVE_TEAMS_15,PASS,
CALENDAR_1980_14,PASS,
OPENING_EMPLOYMENT_66,PASS,
SEASON_STAFF_CONTRACTS_53,PASS,
STAFF_CLOSURE_57,PASS,
STAFF_CLOSURE_NO_REVIEW,PASS,"46 exact + 7 taxonomy-alias + 4 reference-only"
SOUTHGATE_ARROWS,PASS,
REES_TEAM_MANAGER,PASS,
WARR_MATERIALIZED,PASS,
NICHOLS_NOT_OPENING,PASS,
JACKIE_OLIVER_PRINCIPAL,PASS,
EXTERNAL_UNVERIFIED_23,PASS,
SAFE_UNCERTAINTY_23,PASS,
ORDINARY_FREE_DRIVER_ZERO,PASS,
SHORTENED_RACE_RULE_PRESENT,PASS,
REG_CANONICAL_BLOCKERS_ZERO,PASS,
OPERATIONAL_FALLBACKS_NON_FACT,PASS,
NO_STALE_16_1_CURRENT_SURFACES,PASS,[]
GLOBAL_SEASON_V1216_SURFACES,PASS,14 synchronized v1.2.16 closure/audit surfaces
FUTURE_OUTCOMES_EXCLUDED,PASS,
CANONICAL_READY_NOT_PROMOTED,PASS,
SQLITE_GLOBAL_INTEGRITY,PASS,ok
SQLITE_GLOBAL_FK,PASS,0
SQLITE_SEASON_INTEGRITY,PASS,ok
SQLITE_SEASON_FK,PASS,0
