layout_id,season,round,track_id,gp_id,period_correct_track_name,layout_lap_length_km,scheduled_laps,scheduled_distance_km,layout_year_reference,layout_data_status,lap_distance_source_lock_status,power_sensitivity_index,aero_sensitivity_index,brake_stress_index,tyre_wear_index,overtaking_difficulty_index,incident_risk_index,trait_data_status,notes
layout_1980_tr_0018,1980,1,tr_0018,gp_145,Autódromo Municipal Ciudad de Buenos Aires,5.968,53,316.304,1974,season_layout_reference,source_locked_or_internal_reference_pending_row_source,78,82,76,78,70,74,derived_gameplay_baseline,"Lap/distance values are starting-layout references; trait indexes are calibration inputs, not exact historical measurements."
layout_1980_tr_0028,1980,2,tr_0028,gp_146,Interlagos / Autódromo José Carlos Pace,7.873,40,314.92,1990,season_layout_reference,source_locked_or_internal_reference_pending_row_source,82,85,78,84,72,76,derived_gameplay_baseline,"Lap/distance values are starting-layout references; trait indexes are calibration inputs, not exact historical measurements."
layout_1980_tr_0067,1980,3,tr_0067,gp_147,Kyalami Grand Prix Circuit,4.104,78,320.112,1967,season_layout_reference,source_locked_or_internal_reference_pending_row_source,80,78,72,73,65,69,derived_gameplay_baseline,"Lap/distance values are starting-layout references; trait indexes are calibration inputs, not exact historical measurements."
layout_1980_tr_0088,1980,4,tr_0088,gp_148,Long Beach Street Circuit,3.251,80,260.08,1976,season_layout_reference,source_locked_or_internal_reference_pending_row_source,72,78,88,82,88,86,derived_gameplay_baseline,"Lap/distance values are starting-layout references; trait indexes are calibration inputs, not exact historical measurements."
layout_1980_tr_0026,1980,5,tr_0026,gp_149,Circuit Zolder,4.262,72,306.864,1975,season_layout_reference,source_locked_or_internal_reference_pending_row_source,76,82,80,80,74,76,derived_gameplay_baseline,"Lap/distance values are starting-layout references; trait indexes are calibration inputs, not exact historical measurements."
layout_1980_tr_0056,1980,6,tr_0056,gp_150,Circuit de Monaco,3.312,76,251.712,1929,season_layout_reference,source_locked_or_internal_reference_pending_row_source,55,88,86,79,95,90,derived_gameplay_baseline,"Lap/distance values are starting-layout references; trait indexes are calibration inputs, not exact historical measurements."
layout_1980_tr_0035,1980,7,tr_0035,gp_151,Circuit Paul Ricard,5.81,54,313.74,1991,season_layout_reference,source_locked_or_internal_reference_pending_row_source,90,82,80,78,64,72,derived_gameplay_baseline,"Lap/distance values are starting-layout references; trait indexes are calibration inputs, not exact historical measurements."
layout_1980_tr_0081,1980,8,tr_0081,gp_152,Brands Hatch,4.207,76,319.732,1964,season_layout_reference,source_locked_or_internal_reference_pending_row_source,79,78,73,75,68,70,derived_gameplay_baseline,"Lap/distance values are starting-layout references; trait indexes are calibration inputs, not exact historical measurements."
layout_1980_tr_0041,1980,9,tr_0041,gp_153,Hockenheimring,6.789,45,305.505,1982,season_layout_reference,source_locked_or_internal_reference_pending_row_source,94,72,78,76,58,73,derived_gameplay_baseline,"Lap/distance values are starting-layout references; trait indexes are calibration inputs, not exact historical measurements."
layout_1980_tr_0022,1980,10,tr_0022,gp_154,Österreichring,5.942,54,320.868,1997,season_layout_reference,source_locked_or_internal_reference_pending_row_source,90,80,76,77,60,72,derived_gameplay_baseline,"Lap/distance values are starting-layout references; trait indexes are calibration inputs, not exact historical measurements."
layout_1980_tr_0058,1980,11,tr_0058,gp_155,Circuit Zandvoort,4.226,72,304.272,1948,season_layout_reference,source_locked_or_internal_reference_pending_row_source,76,82,75,82,72,74,derived_gameplay_baseline,"Lap/distance values are starting-layout references; trait indexes are calibration inputs, not exact historical measurements."
layout_1980_tr_0047,1980,12,tr_0047,gp_156,Autodromo Dino Ferrari,5.04,60,302.4,1995,season_layout_reference,source_locked_or_internal_reference_pending_row_source,82,80,78,78,67,72,derived_gameplay_baseline,"Lap/distance values are starting-layout references; trait indexes are calibration inputs, not exact historical measurements."
layout_1980_tr_0030,1980,13,tr_0030,gp_157,Circuit Île Notre-Dame,4.41,70,308.7,1978,season_layout_reference,source_locked_or_internal_reference_pending_row_source,83,74,86,76,70,78,derived_gameplay_baseline,"Lap/distance values are starting-layout references; trait indexes are calibration inputs, not exact historical measurements."
layout_1980_tr_0090,1980,14,tr_0090,gp_158,Watkins Glen Grand Prix Circuit,5.435,59,320.665,1961,season_layout_reference,source_locked_or_internal_reference_pending_row_source,72,78,90,81,82,84,derived_gameplay_baseline,"Lap/distance values are starting-layout references; trait indexes are calibration inputs, not exact historical measurements."
