audit_id,season,round,gp_id,track_id,current_db_track_name,period_correct_track_name,country,location,track_type,circuit_id_arch,name_status,identity_source_lock_status,trait_source_lock_status,primary_source_id,materializer_action,notes
ccw1980_circuit_01,1980,1,gp_145,tr_0018,Autódromo Juan y Oscar GÃ¡lvez,Autódromo Municipal Ciudad de Buenos Aires,Argentina,Buenos Aires,permanent_road_course,25,period_display_name_override_required,source_locked_circuit_identity,derived_gameplay_baseline,SRC_V1211_SEASONPACK_1980_V09_OVERLAY,use_period_correct_display_name_for_selected_season,Circuit identity is historical starting data; performance traits remain simulation baselines.
ccw1980_circuit_02,1980,2,gp_146,tr_0028,Autódromo JosÃ© Carlos Pace,Interlagos / Autódromo José Carlos Pace,Brazil,São Paulo,permanent_road_course,18,period_display_name_preferred,source_locked_circuit_identity,derived_gameplay_baseline,SRC_V1211_SEASONPACK_1980_V09_OVERLAY,use_period_correct_display_name_for_selected_season,Circuit identity is historical starting data; performance traits remain simulation baselines.
ccw1980_circuit_03,1980,3,gp_147,tr_0067,Kyalami,Kyalami Grand Prix Circuit,South Africa,Midrand,permanent_road_course,30,period_display_name_preferred,source_locked_circuit_identity,derived_gameplay_baseline,SRC_V1211_SEASONPACK_1980_V09_OVERLAY,use_period_correct_display_name_for_selected_season,Circuit identity is historical starting data; performance traits remain simulation baselines.
ccw1980_circuit_04,1980,4,gp_148,tr_0088,Long Beach,Long Beach Street Circuit,USA,California,temporary_street_circuit,43,period_display_name_preferred,source_locked_circuit_identity,derived_gameplay_baseline,SRC_V1211_SEASONPACK_1980_V09_OVERLAY,use_period_correct_display_name_for_selected_season,Circuit identity is historical starting data; performance traits remain simulation baselines.
ccw1980_circuit_05,1980,5,gp_149,tr_0026,Zolder,Circuit Zolder,Belgium,Heusden-Zolder,permanent_road_course,40,period_display_name_preferred,source_locked_circuit_identity,derived_gameplay_baseline,SRC_V1211_SEASONPACK_1980_V09_OVERLAY,use_period_correct_display_name_for_selected_season,Circuit identity is historical starting data; performance traits remain simulation baselines.
ccw1980_circuit_06,1980,6,gp_150,tr_0056,Circuit de Monaco,Circuit de Monaco,Monaco,Monte-Carlo,temporary_street_circuit,6,already_period_correct,source_locked_circuit_identity,derived_gameplay_baseline,SRC_V1211_SEASONPACK_1980_V09_OVERLAY,use_period_correct_display_name_for_selected_season,Circuit identity is historical starting data; performance traits remain simulation baselines.
ccw1980_circuit_07,1980,7,gp_151,tr_0035,Circuit Paul Ricard,Circuit Paul Ricard,France,Le Castellet,permanent_road_course,34,already_period_correct,source_locked_circuit_identity,derived_gameplay_baseline,SRC_V1211_SEASONPACK_1980_V09_OVERLAY,use_period_correct_display_name_for_selected_season,Circuit identity is historical starting data; performance traits remain simulation baselines.
ccw1980_circuit_08,1980,8,gp_152,tr_0081,Brands Hatch,Brands Hatch,UK,Kent,permanent_road_course,38,already_period_correct,source_locked_circuit_identity,derived_gameplay_baseline,SRC_V1211_SEASONPACK_1980_V09_OVERLAY,use_period_correct_display_name_for_selected_season,Circuit identity is historical starting data; performance traits remain simulation baselines.
ccw1980_circuit_09,1980,9,gp_153,tr_0041,Hockenheimring,Hockenheimring,Germany,Hockenheim,permanent_road_course,10,already_period_correct,source_locked_circuit_identity,derived_gameplay_baseline,SRC_V1211_SEASONPACK_1980_V09_OVERLAY,use_period_correct_display_name_for_selected_season,Circuit identity is historical starting data; performance traits remain simulation baselines.
ccw1980_circuit_10,1980,10,gp_154,tr_0022,Red Bull Ring,Österreichring,Austria,Spielberg,permanent_road_course,70,period_display_name_override_required,source_locked_circuit_identity,derived_gameplay_baseline,SRC_V1211_SEASONPACK_1980_V09_OVERLAY,use_period_correct_display_name_for_selected_season,Circuit identity is historical starting data; performance traits remain simulation baselines.
ccw1980_circuit_11,1980,11,gp_155,tr_0058,Circuit Park Zandvoort,Circuit Zandvoort,Netherlands,Zandvoort,permanent_road_course,39,period_display_name_preferred,source_locked_circuit_identity,derived_gameplay_baseline,SRC_V1211_SEASONPACK_1980_V09_OVERLAY,use_period_correct_display_name_for_selected_season,Circuit identity is historical starting data; performance traits remain simulation baselines.
ccw1980_circuit_12,1980,12,gp_156,tr_0047,Autodromo Enzo e Dino Ferrari,Autodromo Dino Ferrari,Italy,Imola,permanent_road_course,21,period_display_name_override_required,source_locked_circuit_identity,derived_gameplay_baseline,SRC_V1211_SEASONPACK_1980_V09_OVERLAY,use_period_correct_display_name_for_selected_season,Circuit identity is historical starting data; performance traits remain simulation baselines.
ccw1980_circuit_13,1980,13,gp_157,tr_0030,Circuit Gilles Villeneuve,Circuit Île Notre-Dame,Canada,Montreal,permanent_road_course,7,period_display_name_override_required,source_locked_circuit_identity,derived_gameplay_baseline,SRC_V1211_SEASONPACK_1980_V09_OVERLAY,use_period_correct_display_name_for_selected_season,Circuit identity is historical starting data; performance traits remain simulation baselines.
ccw1980_circuit_14,1980,14,gp_158,tr_0090,Watkins Glen,Watkins Glen Grand Prix Circuit,USA,New York State,permanent_road_course,46,period_display_name_preferred,source_locked_circuit_identity,derived_gameplay_baseline,SRC_V1211_SEASONPACK_1980_V09_OVERLAY,use_period_correct_display_name_for_selected_season,Circuit identity is historical starting data; performance traits remain simulation baselines.
